language,input_file,pass@1,pass@1_se,pass@5,pass@5_se,pass@10,pass@10_se,pass@100,pass@100_se
go,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_drgrpo_reward30b_100/humaneval_cpp_to_go.jsonl,0.585366,0.006395,0.737805,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_drgrpo_reward30b_100/humaneval_cpp_to_java.jsonl,0.843902,0.006567,0.908537,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_drgrpo_reward30b_100/humaneval_cpp_to_js.jsonl,0.792683,0.003340,0.865854,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_drgrpo_reward30b_100/humaneval_cpp_to_python.jsonl,0.820732,0.003659,0.859756,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/cpp/evaluation_qwen3.5_drgrpo_reward30b_100/humaneval_cpp_to_rust.jsonl,0.480488,0.025022,0.725610,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_drgrpo_reward30b_100/humaneval_go_to_cpp.jsonl,0.737805,0.002727,0.853659,0.000000,,,,
java,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_drgrpo_reward30b_100/humaneval_go_to_java.jsonl,0.797561,0.009327,0.871951,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_drgrpo_reward30b_100/humaneval_go_to_js.jsonl,0.857317,0.005655,0.932927,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_drgrpo_reward30b_100/humaneval_go_to_python.jsonl,0.890244,0.006098,0.932927,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/go/evaluation_qwen3.5_drgrpo_reward30b_100/humaneval_go_to_rust.jsonl,0.408537,0.013219,0.670732,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_drgrpo_reward30b_100/humaneval_java_to_cpp.jsonl,0.763415,0.005245,0.847561,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_drgrpo_reward30b_100/humaneval_java_to_go.jsonl,0.608537,0.005912,0.756098,0.000000,,,,
js,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_drgrpo_reward30b_100/humaneval_java_to_js.jsonl,0.904878,0.007368,0.957317,0.000000,,,,
python,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_drgrpo_reward30b_100/humaneval_java_to_python.jsonl,0.869512,0.001494,0.914634,0.000000,,,,
rust,/workspace/codegeex/benchmark/humaneval-x/java/evaluation_qwen3.5_drgrpo_reward30b_100/humaneval_java_to_rust.jsonl,0.486585,0.015594,0.713415,0.000000,,,,
cpp,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_drgrpo_reward30b_100/humaneval_js_to_cpp.jsonl,0.737805,0.011886,0.853659,0.000000,,,,
go,/workspace/codegeex/benchmark/humaneval-x/js/evaluation_qwen3.5_drgrpo_reward30b_100/humaneval_js_to_go.jsonl,0.658537,0.009247,0.792683,0.000000,,,,
